                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3474,                 1.8761,                 1.5718,                0.53561,                0.36614,                0.43911,                0.22952,                 1.6605,                 2.3396,                 1.5577,             0.00065882,             0.00065882,             0.00065882
                      2,                 1.2636,                 1.4315,                 1.5024,                0.65378,                0.60236,                 0.6112,                0.27676,                 1.8081,                 1.7823,                 1.7506,              0.0012817,              0.0012817,              0.0012817
                      3,                 1.2455,                 1.3456,                 1.5203,                0.63793,                0.59449,                0.63422,                0.26361,                 1.9042,                 1.8005,                 1.9227,              0.0018607,              0.0018607,              0.0018607
                      4,                   1.23,                 1.2401,                 1.4989,                0.69211,                0.48425,                0.58929,                0.26476,                 1.8306,                 1.6391,                 1.6311,               0.001802,               0.001802,               0.001802
                      5,                 1.1897,                 1.1748,                 1.4638,                0.72232,                0.62598,                0.70262,                0.34497,                 1.6852,                 1.3624,                 1.6046,               0.001802,               0.001802,               0.001802
                      6,                 1.1697,                 1.1382,                 1.4606,                0.60965,                0.69291,                0.68846,                0.31286,                 1.8759,                 1.4414,                 1.7004,               0.001736,               0.001736,               0.001736
                      7,                 1.1664,                 1.0865,                 1.4273,                0.74599,                0.70866,                  0.764,                0.43768,                 1.4905,                 1.1784,                 1.4476,                0.00167,                0.00167,                0.00167
                      8,                 1.0952,                 1.0138,                 1.4046,                0.67078,                0.68898,                0.68573,                0.38524,                 1.5166,                 1.4408,                 1.4697,               0.001604,               0.001604,               0.001604
                      9,                 1.0824,                0.99107,                 1.3851,                0.76653,                0.75591,                0.80798,                0.46162,                 1.4788,                 1.1162,                 1.3861,               0.001538,               0.001538,               0.001538
                     10,                 1.0602,                0.93687,                 1.3611,                 0.7489,                0.67717,                0.75603,                0.39126,                  1.628,                 1.2055,                 1.4654,               0.001472,               0.001472,               0.001472
                     11,                 1.0345,                0.91047,                 1.3362,                0.80342,                0.67582,                0.75012,                0.43105,                 1.4826,                 1.2363,                 1.3953,               0.001406,               0.001406,               0.001406
                     12,                 1.0083,                0.87952,                 1.3227,                 0.7637,                 0.7126,                0.75375,                0.40148,                 1.6542,                 1.1103,                 1.5381,                0.00134,                0.00134,                0.00134
                     13,                 1.0005,                0.84453,                 1.3093,                0.79743,                0.74803,                0.82378,                0.48031,                 1.4696,                0.98033,                 1.3965,               0.001274,               0.001274,               0.001274
                     14,                0.94614,                0.80109,                  1.285,                0.80378,                0.75591,                0.84205,                0.44122,                 1.6667,                0.99104,                 1.4954,               0.001208,               0.001208,               0.001208
                     15,                0.92953,                0.78779,                  1.276,                0.81376,                0.81102,                0.85522,                0.46098,                 1.5622,                0.94322,                 1.4448,               0.001142,               0.001142,               0.001142
                     16,                 0.9476,                0.80469,                 1.2912,                0.75611,                0.77953,                0.81877,                0.49257,                 1.4039,                0.96144,                 1.3495,               0.001076,               0.001076,               0.001076
                     17,                0.91009,                0.76012,                 1.2668,                0.75611,                0.75984,                0.81217,                0.48435,                 1.3884,                 1.0899,                 1.3426,                0.00101,                0.00101,                0.00101
                     18,                0.88497,                0.74248,                 1.2417,                0.83159,                0.69685,                0.83151,                0.51396,                 1.3326,                0.93858,                 1.3044,               0.000944,               0.000944,               0.000944
                     19,                0.88039,                0.71892,                 1.2452,                0.82206,                0.76772,                0.85492,                0.50792,                 1.3609,                0.93843,                 1.3061,               0.000878,               0.000878,               0.000878
                     20,                0.88688,                0.71206,                 1.2313,                0.79208,                0.79921,                0.85279,                0.52871,                 1.3075,                 0.8873,                 1.3005,               0.000812,               0.000812,               0.000812
                     21,                0.89464,                 0.6643,                  1.265,                0.77988,                0.71137,                0.80638,                0.51709,                 1.3177,                 0.9893,                 1.2886,               0.000746,               0.000746,               0.000746
                     22,                  0.885,                0.63381,                 1.2538,                0.83609,                0.78346,                0.85632,                0.48534,                 1.4569,                0.92025,                 1.3866,                0.00068,                0.00068,                0.00068
                     23,                 0.8602,                0.58328,                 1.2346,                 0.8126,                0.78346,                0.85563,                0.51186,                 1.3964,                0.84904,                 1.3244,               0.000614,               0.000614,               0.000614
                     24,                0.83531,                0.57553,                 1.2191,                0.81062,                0.80709,                0.86721,                0.48859,                 1.4873,                0.88358,                 1.4148,               0.000548,               0.000548,               0.000548
                     25,                0.80703,                0.55143,                 1.2012,                0.81448,                0.75984,                0.84433,                 0.5052,                   1.38,                0.89748,                 1.3211,               0.000482,               0.000482,               0.000482
                     26,                0.78318,                0.52623,                 1.1821,                0.81725,                0.79226,                 0.8634,                0.50802,                   1.39,                0.88351,                 1.3251,               0.000416,               0.000416,               0.000416
                     27,                0.75278,                0.50184,                 1.1453,                0.80512,                0.81102,                0.86026,                0.55092,                 1.2972,                 0.8215,                 1.2732,                0.00035,                0.00035,                0.00035
                     28,                0.74884,                0.49458,                 1.1436,                0.83491,                 0.7874,                0.87252,                0.54586,                 1.3147,                0.84373,                 1.2682,               0.000284,               0.000284,               0.000284
                     29,                0.73522,                0.47152,                 1.1374,                0.79869,                0.81102,                0.87067,                0.55618,                 1.3047,                0.83283,                 1.2667,               0.000218,               0.000218,               0.000218
                     30,                0.71145,                0.46938,                 1.1414,                0.86914,                0.76772,                0.86816,                0.55864,                 1.2647,                0.81939,                 1.2595,               0.000152,               0.000152,               0.000152
